filepath,start,end,scientific_name,common_name,confidence,lat,lon,week,overlap,sensitivity,min_conf,species_list,model
example/soundscape.wav,0,3.0,Poecile atricapillus,Black-capped Chickadee,0.6618,-1.0000,-1.0000,-1,0.0,1.0,0.1,None,BirdNET_GLOBAL_3K_V2.2_Model_FP32.tflite
example/soundscape.wav,9.0,12.0,Haemorhous mexicanus,House Finch,0.5067,-1.0000,-1.0000,-1,0.0,1.0,0.1,None,BirdNET_GLOBAL_3K_V2.2_Model_FP32.tflite
example/soundscape.wav,12.0,15.0,Haemorhous mexicanus,House Finch,0.1234,-1.0000,-1.0000,-1,0.0,1.0,0.1,None,BirdNET_GLOBAL_3K_V2.2_Model_FP32.tflite
example/soundscape.wav,12.0,15.0,Haemorhous purpureus,Purple Finch,0.1152,-1.0000,-1.0000,-1,0.0,1.0,0.1,None,BirdNET_GLOBAL_3K_V2.2_Model_FP32.tflite
example/soundscape.wav,15.0,18.0,Cyanocitta cristata,Blue Jay,0.2294,-1.0000,-1.0000,-1,0.0,1.0,0.1,None,BirdNET_GLOBAL_3K_V2.2_Model_FP32.tflite
example/soundscape.wav,18.0,21.0,Cyanocitta cristata,Blue Jay,0.2049,-1.0000,-1.0000,-1,0.0,1.0,0.1,None,BirdNET_GLOBAL_3K_V2.2_Model_FP32.tflite
example/soundscape.wav,21.0,24.0,Cyanocitta cristata,Blue Jay,0.3831,-1.0000,-1.0000,-1,0.0,1.0,0.1,None,BirdNET_GLOBAL_3K_V2.2_Model_FP32.tflite
example/soundscape.wav,21.0,24.0,Accipiter striatus,Sharp-shinned Hawk,0.1194,-1.0000,-1.0000,-1,0.0,1.0,0.1,None,BirdNET_GLOBAL_3K_V2.2_Model_FP32.tflite
example/soundscape.wav,21.0,24.0,Haliaeetus leucocephalus,Bald Eagle,0.1003,-1.0000,-1.0000,-1,0.0,1.0,0.1,None,BirdNET_GLOBAL_3K_V2.2_Model_FP32.tflite
example/soundscape.wav,27.0,30.0,Junco hyemalis,Dark-eyed Junco,0.1200,-1.0000,-1.0000,-1,0.0,1.0,0.1,None,BirdNET_GLOBAL_3K_V2.2_Model_FP32.tflite
example/soundscape.wav,33.0,36.0,Junco hyemalis,Dark-eyed Junco,0.3555,-1.0000,-1.0000,-1,0.0,1.0,0.1,None,BirdNET_GLOBAL_3K_V2.2_Model_FP32.tflite
example/soundscape.wav,33.0,36.0,Spizelloides arborea,American Tree Sparrow,0.1675,-1.0000,-1.0000,-1,0.0,1.0,0.1,None,BirdNET_GLOBAL_3K_V2.2_Model_FP32.tflite
